Model,Manufacturer,Architecture,Foundry,ReleaseDate,TransistorCount_B,TDP_W,ProcessSize_nm,DieSize_mm2,TFLOPS,MemoryBandwidth_GBs,BaseClock_MHz,BoostClock_MHz,TransistorDensity_M_mm2,MemorySize_GB,MemoryType,ShadingUnits
Grenada,AMD,GCN 2.0,TSMC,2015-06-18,6.2,275,28,438.0,5.914,384.0,1050.0,1050.0,14.2,8.0,GDDR5,2816
Venus,AMD,GCN 1.0,TSMC,2015-01-01,1.5,,28,123.0,1.2992000000000001,72.0,1015.0,1015.0,12.2,2.0,GDDR5,640
Fiji,AMD,GCN 3.0,TSMC,2015-07-10,8.9,275,28,596.0,7.168,512.0,1000.0,1000.0,14.9,4.0,HBM,3584
Fiji,AMD,GCN 3.0,TSMC,2015-06-24,8.9,275,28,596.0,8.602,512.0,1050.0,1050.0,14.9,4.0,HBM,4096
Saturn,AMD,GCN 2.0,TSMC,2015-02-05,2.08,,28,160.0,1.792,88.0,900.0,1000.0,13.0,4.0,GDDR5,896
Tropo,AMD,GCN 1.0,TSMC,2015-05-05,1.5,,28,123.0,0.9472,72.0,900.0,925.0,12.2,4.0,GDDR5,512
Tropo,AMD,GCN 1.0,TSMC,2015-05-05,1.5,,28,123.0,1.184,72.0,900.0,925.0,12.2,4.0,GDDR5,640
Tropo,AMD,GCN 1.0,TSMC,2015-05-05,1.5,,28,123.0,1.024,72.0,775.0,800.0,12.2,2.0,GDDR5,640
Tropo,AMD,GCN 1.0,TSMC,2015-05-05,1.5,,28,123.0,1.2992000000000001,28.8,1000.0,1015.0,12.2,2.0,DDR3,640
Tropo,AMD,GCN 1.0,TSMC,2015-05-05,1.5,,28,123.0,1.2992000000000001,72.0,925.0,1015.0,12.2,2.0,GDDR5,640
Strato,AMD,GCN 2.0,TSMC,2015-05-05,2.08,,28,160.0,1.536,96.0,900.0,1000.0,13.0,4.0,GDDR5,768
Strato,AMD,GCN 2.0,TSMC,2015-05-05,2.08,,28,160.0,1.568,100.4,900.0,1021.0,13.0,2.0,GDDR5,768
Strato,AMD,GCN 2.0,TSMC,2015-05-05,2.08,,28,160.0,1.792,76.8,900.0,1000.0,13.0,4.0,GDDR5,896
Strato,AMD,GCN 2.0,TSMC,2015-05-05,2.08,,28,160.0,1.971,76.8,1000.0,1100.0,13.0,4.0,GDDR5,896
Pitcairn,AMD,GCN 1.0,TSMC,2015-05-05,2.8,80,28,212.0,1.962,174.7,958.0,958.0,13.2,2.0,GDDR5,1024
Amethyst,AMD,GCN 3.0,TSMC,2015-05-05,5.0,75,28,366.0,2.961,160.0,723.0,723.0,13.7,4.0,GDDR5,2048
Amethyst,AMD,GCN 3.0,TSMC,2015-05-05,5.0,250,28,366.0,2.989,174.7,834.0,834.0,13.7,2.0,GDDR5,1792
Amethyst,AMD,GCN 3.0,TSMC,2015-05-05,5.0,75,28,366.0,2.961,160.0,723.0,723.0,13.7,8.0,GDDR5,2048
Amethyst,AMD,GCN 3.0,TSMC,2015-05-05,5.0,250,28,366.0,3.723,174.7,909.0,909.0,13.7,4.0,GDDR5,2048
Fiji,AMD,GCN 3.0,TSMC,2015-08-27,8.9,175,28,596.0,8.192,512.0,1000.0,1000.0,14.9,4.0,HBM,4096
Broadwell GT1,Intel,Generation 8.0,Intel,2015-01-05,,6,14,82.0,0.1536,,100.0,800.0,,,System Shared,96
Braswell GT1,Intel,Generation 8.0,Intel,2015-04-01,,6,14,,0.1152,,320.0,600.0,,,System Shared,96
Braswell GT1,Intel,Generation 8.0,Intel,2015-04-01,,6,14,,0.1536,,200.0,600.0,,,System Shared,128
Apollo Lake GT1,Intel,Generation 9.0,Intel,2015-09-01,,6,14,,0.1248,,200.0,650.0,,,System Shared,96
Skylake GT1,Intel,Generation 9.0,Intel,2015-09-01,,15,14,,0.1824,,350.0,950.0,,,System Shared,96
Skylake GT1,Intel,Generation 9.0,Intel,2015-09-01,,15,14,,0.1728,,300.0,900.0,,,System Shared,96
Skylake GT2,Intel,Generation 9.0,Intel,2015-09-01,,15,14,123.0,0.3072,,300.0,800.0,,,System Shared,192
Skylake GT2,Intel,Generation 9.0,Intel,2015-09-01,,15,14,123.0,0.3456,,300.0,900.0,,,System Shared,192
Skylake GT2,Intel,Generation 9.0,Intel,2015-09-01,,15,14,123.0,0.3648,,350.0,950.0,,,System Shared,192
Skylake GT2,Intel,Generation 9.0,Intel,2015-09-01,,15,14,123.0,0.3648,,350.0,950.0,,,System Shared,192
Skylake GT2,Intel,Generation 9.0,Intel,2015-09-01,,15,14,123.0,0.384,,350.0,1000.0,,,System Shared,192
Skylake GT3e,Intel,Generation 9.0,Intel,2015-09-01,,15,14,,0.768,,300.0,1000.0,,,System Shared,384
Skylake GT3e,Intel,Generation 9.0,Intel,2015-09-01,,15,14,,0.768,,300.0,1000.0,,,System Shared,384
Skylake GT4e,Intel,Generation 9.0,Intel,2015-09-01,,15,14,,1.0944,,350.0,950.0,,,System Shared,576
Skylake GT3e,Intel,Generation 9.0,Intel,2015-09-01,,15,14,,0.768,,350.0,1000.0,,,System Shared,384
Skylake GT4e,Intel,Generation 9.0,Intel,2015-09-01,,15,14,,1.152,,350.0,1000.0,,,System Shared,576
Skylake GT4e,Intel,Generation 9.0,Intel,2015-09-01,,15,14,,1.2096,,350.0,1050.0,,,System Shared,576
GM108S,NVIDIA,Maxwell,TSMC,2016-03-25,1.02,16,28,77.0,0.5084,14.4,965.0,993.0,13.2,2.0,DDR3,256
GM108S,NVIDIA,Maxwell,TSMC,2016-03-01,1.02,17,28,77.0,0.7834,14.4,952.0,1020.0,13.2,2.0,DDR3,384
GM108,NVIDIA,Maxwell,TSMC,2016-01-01,1.02,23,28,77.0,0.7626000000000001,40.1,954.0,993.0,13.2,1.0,GDDR5,384
