Model,Manufacturer,Architecture,Foundry,ReleaseDate,TransistorCount_B,TDP_W,ProcessSize_nm,DieSize_mm2,TFLOPS,MemoryBandwidth_GBs,BaseClock_MHz,BoostClock_MHz,TransistorDensity_M_mm2,MemorySize_GB,MemoryType,ShadingUnits
CW16800-A,ATI,Wonder,,1986-08-04,,,800,90.0,,0.02,10.0,10.0,,3.2e-05,DRAM,
CW16800-A,ATI,Wonder,,1986-09-22,,,800,90.0,,0.02,10.0,10.0,,6.4e-05,DRAM,
18800-1,ATI,Wonder,NEC,1988-01-01,,,800,90.0,,0.032,25.0,25.0,,0.00025,DRAM,
CW16800-B,ATI,Wonder,,1987-03-23,,,800,90.0,,0.02,10.0,10.0,,6.4e-05,DRAM,
CHIPS P82C441,ATI,Wonder,,1987-09-28,,,800,,,0.04,10.0,10.0,,0.00025,DRAM,
CHIPS P82C435,ATI,Wonder,,1988-12-26,,,800,,,0.032,10.0,10.0,,0.00025,DRAM,
18800-1,ATI,Wonder,NEC,1990-02-05,,,800,90.0,,0.04,10.0,10.0,,0.00025,DRAM,
Mach8,ATI,Mach,NEC,1992-01-01,,,800,90.0,,0.04,10.0,10.0,,0.001,VRAM,
Mach8,ATI,Mach,NEC,1992-01-01,,,800,90.0,,0.04,10.0,10.0,,0.001,VRAM,
Mach32,ATI,Mach,,1992-01-01,,,700,90.0,,0.08,10.0,10.0,,0.002,DRAM,
Mach8,ATI,Mach,NEC,1992-01-01,,,800,90.0,,0.04,10.0,10.0,,0.001,DRAM,
Mach32,ATI,Mach,,1992-01-01,,,700,90.0,,0.08,10.0,10.0,,0.001,DRAM,
Mach32,ATI,Mach,,1992-01-01,,,700,90.0,,0.08,10.0,10.0,,0.001,DRAM,
28800-6,ATI,Wonder,NEC,1992-03-16,,,800,90.0,,0.04,10.0,10.0,,0.001,DRAM,
Mach32,ATI,Mach,,1993-01-01,,,700,90.0,,0.664,66.0,66.0,,0.001,DRAM,
Mach32,ATI,Mach,,1993-01-01,,,700,90.0,,0.08,10.0,10.0,,0.001,VRAM,
Mach32,ATI,Mach,,1993-01-01,,,700,90.0,,0.08,10.0,10.0,,0.001,VRAM,
GTE,Sony,,Sony,1994-12-03,0.001,11,600,128.0,,0.132,53.0,53.0,0.0078,0.001,VRAM,
NV1,NVIDIA,,ST,1995-09-30,0.001,2,500,135.0,,0.48,75.0,75.0,0.0074,0.002,EDO,
NV1,NVIDIA,,ST,1995-09-30,0.001,2,500,135.0,,0.4,75.0,75.0,0.0074,0.001,FPM,
Mach64,ATI,Mach,,1995-01-01,0.001,,600,90.0,,0.32,40.0,40.0,0.0111,0.002,VRAM,
Mach64,ATI,Mach,,1995-11-01,0.001,,600,90.0,,0.32,40.0,40.0,0.0111,0.002,EDO,
Mach64,ATI,Mach,,1995-01-01,0.001,,600,90.0,,0.32,40.0,40.0,0.0111,0.002,DRAM,
Mach64,ATI,Mach,,1996-05-21,0.001,,600,90.0,,0.496,62.0,62.0,0.0111,0.001,EDO,
Mach64,ATI,Mach,,1995-11-01,0.001,,600,90.0,,0.32,40.0,40.0,0.0111,0.002,EDO,
Mach64,ATI,Mach,,1995-11-01,0.001,,600,90.0,,0.32,40.0,40.0,0.0111,0.002,EDO,
Mach64,ATI,Mach,,1995-01-01,0.001,,600,90.0,,0.32,40.0,40.0,0.0111,0.002,VRAM,
Mach64 GT,ATI,Mach,,1996-04-01,0.005,,500,90.0,,0.528,44.0,44.0,0.055600000000000004,0.002,EDO,
Mach64 GT-B,ATI,Mach,SGS Microelettronica,1996-09-05,0.005,,500,86.0,,0.664,60.0,60.0,0.0581,0.004,SDR,
Mach64 GT-B,ATI,Mach,UMC,1996-09-01,0.005,,500,86.0,,0.664,60.0,60.0,0.0581,0.004,SDR,
Mach64 GT-B,ATI,Mach,UMC,1996-09-01,0.005,,500,86.0,,0.664,60.0,60.0,0.0581,0.004,SDR,
SST1,3dfx,,TSMC,1996-10-07,0.001,15,500,135.0,,0.8,50.0,50.0,0.0074,0.004,EDO,
NV3,NVIDIA,,ST,1997-04-01,0.004,4,350,71.0,,1.6,100.0,100.0,0.056299999999999996,0.004,SDR,
NV3,NVIDIA,,ST,1997-04-01,0.004,4,350,71.0,,1.6,100.0,100.0,0.056299999999999996,0.004,SDR,
Rage IIC,ATI,Rage 2,UMC,1997-04-01,0.005,,500,39.0,,0.664,60.0,60.0,0.12819999999999998,0.004,SDR,
Rage IIC,ATI,Rage 2,UMC,1997-04-01,0.005,,500,39.0,,0.664,60.0,60.0,0.12819999999999998,0.002,SDR,
Rage PRO,ATI,Rage 3,UMC,1997-03-01,0.008,,350,47.0,,0.6,75.0,75.0,0.1702,0.002,SDR,
Rage PRO,ATI,Rage 3,UMC,1997-03-01,0.008,,350,47.0,,0.6,75.0,75.0,0.1702,0.002,SDR,
Rage PRO,ATI,Rage 3,UMC,1997-03-01,0.008,,350,47.0,,0.6,75.0,75.0,0.1702,0.008,SDR,
Mach64 LT,ATI,Mach,UMC,1997-11-01,0.001,,500,90.0,,0.8,75.0,75.0,0.0111,0.008,SDR,
Rage PRO Turbo,ATI,Rage 3,UMC,1997-03-01,0.008,,350,67.0,,0.6,75.0,75.0,0.1194,0.004,SDR,
Rage PRO Turbo,ATI,Rage 3,UMC,1997-03-01,0.008,,350,67.0,,0.6,75.0,75.0,0.1194,0.008,SDR,
Rage PRO,ATI,Rage 3,UMC,1997-03-01,0.008,,350,47.0,,0.8,75.0,75.0,0.1702,0.002,SDR,
GTE-2,Sony,,Sony,1997-11-13,0.001,10,350,128.0,,0.132,53.0,53.0,0.0078,0.001,SGRAM,
NV3,NVIDIA,,ST,1998-02-23,0.004,,350,71.0,,1.6,100.0,100.0,0.056299999999999996,0.008,SDR,
NV4,NVIDIA,Fahrenheit,TSMC,1998-03-23,0.007,,350,128.0,,1.76,90.0,90.0,0.054700000000000006,0.016,SDR,
Auburn,Intel,i740,Intel,1998-02-12,,,150,,,0.8,66.0,66.0,,0.004,SDR,
Auburn,Intel,i740,Intel,1998-02-12,,,150,,,0.8,66.0,66.0,,0.008,SDR,
Auburn,Intel,i740,Intel,1998-01-01,,,150,,,,66.0,66.0,,,System Shared,
Portola,Intel,Generation 1.0,Intel,1998-01-01,,,150,,,,100.0,100.0,,,System Shared,
Rage 128,ATI,Rage 4,TSMC,1998-08-27,0.008,,250,89.0,,0.96,80.0,80.0,0.08990000000000001,0.032,SDR,
Rage 128,ATI,Rage 4,TSMC,1998-08-27,0.008,,250,89.0,,1.648,103.0,103.0,0.08990000000000001,0.032,SDR,
Rage 128,ATI,Rage 4,TSMC,1998-08-01,0.008,,250,89.0,,2.08,130.0,130.0,0.08990000000000001,0.016,DDR,
Rage 128,ATI,Rage 4,TSMC,1998-08-01,0.008,,250,89.0,,2.0,80.0,80.0,0.08990000000000001,0.032,DDR,
Rage 128,ATI,Rage 4,TSMC,1998-08-01,0.008,,250,89.0,,2.0,80.0,80.0,0.08990000000000001,0.032,DDR,
Rage XL,ATI,Rage 3,TSMC,1999-01-11,0.008,,350,47.0,,0.332,83.0,83.0,0.1702,0.008,SDR,
Banshee,3dfx,,TSMC,1998-06-22,0.004,15,350,137.0,,1.6,100.0,100.0,0.0292,0.016,SDR,
Banshee,3dfx,,TSMC,1998-06-22,0.004,15,350,137.0,,1.6,100.0,100.0,0.0292,0.016,SDR,
SST2,3dfx,,TSMC,1998-02-02,0.004,15,350,119.0,,2.16,90.0,90.0,0.033600000000000005,0.012,EDO,
SST2,3dfx,,TSMC,1998-02-02,0.004,15,350,119.0,,2.16,90.0,90.0,0.033600000000000005,0.008,EDO,
Eclipse,Matrox,G200,UMC,1998-01-01,0.01,,350,,,0.896,84.0,84.0,,0.008,SDR,
Eclipse,Matrox,G200,UMC,1998-01-01,0.01,,350,,,1.144,84.0,84.0,,0.008,SGR,
Eclipse,Matrox,G200,UMC,1998-01-01,0.01,,350,,,0.896,84.0,84.0,,0.008,SDR,
Eclipse,Matrox,G200,UMC,1998-01-01,0.01,,350,,,0.896,84.0,84.0,,0.008,SDR,
Twister,Matrox,G100,UMC,1998-01-01,,,350,,,0.496,41.0,41.0,,0.002,SGR,
NV10,NVIDIA,Celsius,TSMC,1999-12-23,0.017,,220,139.0,,4.8,120.0,120.0,0.12229999999999999,0.032,DDR,
NV10,NVIDIA,Celsius,TSMC,1999-10-11,0.017,,220,139.0,,1.144,120.0,120.0,0.12229999999999999,0.032,SDR,
NV10,NVIDIA,Celsius,TSMC,1999-01-01,0.017,,220,139.0,,2.656,135.0,135.0,0.12229999999999999,0.032,SDR,
NV5,NVIDIA,Fahrenheit,TSMC,1999-10-12,0.015,,250,63.0,,2.4,125.0,125.0,0.2381,0.016,SDR,
NV5,NVIDIA,Fahrenheit,TSMC,1999-10-12,0.015,,250,63.0,,1.144,125.0,125.0,0.2381,0.016,SDR,
NV5,NVIDIA,Fahrenheit,TSMC,1999-03-22,0.015,,250,63.0,,1.064,100.0,100.0,0.2381,0.016,SDR,
NV5,NVIDIA,Fahrenheit,TSMC,1999-03-22,0.015,,250,63.0,,1.064,100.0,100.0,0.2381,0.016,SDR,
NV5,NVIDIA,Fahrenheit,TSMC,1999-10-12,0.015,,250,63.0,,2.672,143.0,143.0,0.2381,0.032,SDR,
NV5,NVIDIA,Fahrenheit,TSMC,1999-03-15,0.015,,250,63.0,,2.928,150.0,150.0,0.2381,0.032,SDR,
Portola,Intel,Generation 1.0,Intel,1999-04-27,,,150,,,1.064,100.0,100.0,,0.016,SDR,
Whitney,Intel,Generation 1.0,Intel,1999-01-01,,,150,,,,133.0,133.0,,,System Shared,
Rage 128,ATI,Rage 4,TSMC,1999-06-16,0.008,,250,89.0,,1.44,90.0,90.0,0.08990000000000001,0.032,SDR,
Rage 128,ATI,Rage 4,TSMC,1999-06-16,0.008,,250,89.0,,1.44,90.0,90.0,0.08990000000000001,0.016,SDR,
Rage 128 PRO,ATI,Rage 4,UMC,1999-06-16,0.008,,250,98.0,,1.92,120.0,120.0,0.08159999999999999,0.032,SDR,
Rage 128,ATI,Rage 4,TSMC,1999-06-16,0.008,,250,89.0,,2.144,134.0,134.0,0.08990000000000001,0.032,SDR,
IBM,ATI,IBM,IBM,1999-03-01,,,250,,,3.2,45.0,45.0,,0.032,SDR,
Rage 128 PRO,ATI,Rage 4,UMC,1999-08-01,0.008,,250,98.0,,2.288,118.0,118.0,0.08159999999999999,0.032,SDR,
Rage 128 PRO,ATI,Rage 4,UMC,1999-08-01,0.008,,250,98.0,,1.04,130.0,130.0,0.08159999999999999,0.032,SDR,
Rage 128 PRO,ATI,Rage 4,UMC,1999-08-01,0.008,,250,98.0,,2.08,130.0,130.0,0.08159999999999999,0.016,DDR,
Rage 128 PRO,ATI,Rage 4,UMC,1999-08-01,0.008,,250,98.0,,1.92,80.0,80.0,0.08159999999999999,0.032,SDR,
Rage 128 PRO,ATI,Rage 4,UMC,1999-10-01,0.008,,250,98.0,,2.288,125.0,125.0,0.08159999999999999,0.032,SDR,
M3,ATI,Rage 4,TSMC,1999-10-01,0.008,,250,70.0,,0.84,105.0,105.0,0.1143,0.016,SDR,
M4,ATI,Rage 4,TSMC,1999-10-01,0.008,,250,70.0,,1.68,105.0,105.0,0.1143,0.016,DDR,
Rage Mobility,ATI,Rage 4,TSMC,1999-02-01,0.004,,350,70.0,,0.56,75.0,75.0,0.0571,0.008,SDR,
Rage Mobility,ATI,Rage 4,TSMC,1999-02-01,0.004,,350,70.0,,0.56,75.0,75.0,0.0571,0.004,SDR,
M1,ATI,Rage 4,TSMC,1999-02-01,0.008,,250,70.0,,1.0,83.0,83.0,0.1143,0.008,SDR,
M3,ATI,Rage 4,TSMC,1999-10-01,0.008,,250,70.0,,0.84,105.0,105.0,0.1143,0.008,SDR,
M4,ATI,Rage 4,TSMC,1999-10-01,0.008,,250,70.0,,0.84,105.0,105.0,0.1143,0.016,SDR,
Rage Mobility,ATI,Rage 4,TSMC,1999-02-01,0.004,,350,70.0,,0.56,75.0,75.0,0.0571,0.008,SDR,
Avenger,3dfx,,TSMC,1999-07-26,0.002,15,250,74.0,,2.288,143.0,143.0,0.1108,0.008,SDR,
Avenger,3dfx,,TSMC,1999-03-01,0.002,15,250,74.0,,2.288,143.0,143.0,0.1108,0.016,SDR,
Avenger,3dfx,,TSMC,1999-04-03,0.002,15,250,74.0,,2.288,143.0,143.0,0.1108,0.016,SDR,
Avenger,3dfx,,TSMC,1999-04-03,0.002,15,250,74.0,,2.288,143.0,143.0,0.1108,0.016,SDR,
Avenger,3dfx,,TSMC,1999-04-03,0.002,15,250,74.0,,2.656,166.0,166.0,0.1108,0.016,SDR,
Avenger,3dfx,,TSMC,1999-04-03,0.002,15,250,74.0,,2.656,166.0,166.0,0.1108,0.016,SDR,
Avenger,3dfx,,TSMC,1999-06-01,0.002,15,250,74.0,,2.928,183.0,183.0,0.1108,0.016,SDR,
Toucan,Matrox,G400,UMC,1999-05-20,0.01,,250,,,2.656,125.0,125.0,,0.016,SDR,
Calao,Matrox,G200,UMC,1999-01-01,0.01,,250,,,0.896,84.0,84.0,,0.008,SDR,
Calao,Matrox,G200,UMC,1999-01-01,0.01,,250,,,1.024,96.0,96.0,,0.008,SDR,
Toucan,Matrox,G400,UMC,1999-05-20,0.01,,250,,,2.656,125.0,125.0,,0.032,SDR,
Toucan,Matrox,G400,UMC,1999-05-20,0.01,,250,,,3.2,150.0,150.0,,0.032,SDR,
NV11B,NVIDIA,Celsius,TSMC,2000-11-11,0.02,2,180,64.0,,2.656,143.0,143.0,0.3125,0.064,DDR,
NV15,NVIDIA,Celsius,TSMC,2000-04-26,0.025,,180,88.0,,5.312,200.0,200.0,0.2841,0.032,DDR,
NV15,NVIDIA,Celsius,TSMC,2000-04-26,0.025,,180,88.0,,6.4,200.0,200.0,0.2841,0.032,DDR,
NV11,NVIDIA,Celsius,TSMC,2000-06-28,0.02,,180,64.0,,2.656,175.0,175.0,0.3125,0.032,SDR,
NV11,NVIDIA,Celsius,TSMC,2000-06-28,0.02,,180,64.0,,2.656,175.0,175.0,0.3125,0.032,SDR,
NV11,NVIDIA,Celsius,TSMC,2000-06-28,0.02,,180,64.0,,2.656,175.0,175.0,0.3125,0.032,SDR,
NV11,NVIDIA,Celsius,TSMC,2000-06-28,0.02,,180,64.0,,1.328,175.0,175.0,0.3125,0.032,SDR,
NV15,NVIDIA,Celsius,TSMC,2000-12-05,0.025,,180,88.0,,6.4,200.0,200.0,0.2841,0.064,DDR,
NV15,NVIDIA,Celsius,TSMC,2000-08-14,0.025,,180,88.0,,7.36,250.0,250.0,0.2841,0.064,DDR,
NV11B,NVIDIA,Celsius,TSMC,2000-07-25,0.02,,180,64.0,,2.928,200.0,200.0,0.3125,0.032,SDR,
NV11B,NVIDIA,Celsius,TSMC,2000-07-25,0.02,,180,64.0,,2.928,200.0,200.0,0.3125,0.032,SDR,
NV5,NVIDIA,Fahrenheit,TSMC,2000-03-01,0.015,,250,63.0,,0.8,105.0,105.0,0.2381,0.008,SDR,
Solano,Intel,Generation 1.0,Intel,2000-01-01,,,150,,,,133.0,133.0,,,System Shared,
R100,ATI,Rage 6,TSMC,2000-07-31,0.03,,180,111.0,,5.312,166.0,166.0,0.2703,0.032,DDR,
GT1000,ATI,IBM,IBM,2000-06-01,,,180,100.0,,7.68,120.0,120.0,,0.064,DDR,
GT1000,ATI,IBM,IBM,2000-06-01,,,180,100.0,,8.0,120.0,120.0,,0.128,DDR,
Flipper,ATI,Rage 5,NEC,2000-08-24,0.051,45,180,120.0,,1.296,162.0,162.0,0.425,0.016,SDR,
R100,ATI,Rage 6,TSMC,2000-06-01,0.03,23,180,111.0,,2.288,143.0,143.0,0.2703,0.032,SDR,
R100,ATI,Rage 6,TSMC,2000-04-01,0.03,23,180,111.0,,5.312,166.0,166.0,0.2703,0.064,DDR,
Rage 6,ATI,Rage 6,TSMC,2000-04-01,0.03,23,180,115.0,,5.312,166.0,166.0,0.26089999999999997,0.032,DDR,
Rage 6,ATI,Rage 6,TSMC,2000-06-01,0.03,,180,115.0,,4.736,148.0,148.0,0.26089999999999997,0.032,DDR,
Rage 6,ATI,Rage 6,TSMC,2000-06-01,0.03,23,180,115.0,,2.656,166.0,166.0,0.26089999999999997,0.032,SDR,
Rage 6,ATI,Rage 6,TSMC,2000-06-01,0.03,23,180,115.0,,2.656,166.0,166.0,0.26089999999999997,0.032,SDR,
VSA-100,3dfx,Voodoo Scalable,TSMC,2000-10-13,0.014,15,250,112.0,,2.656,166.0,166.0,0.125,0.032,SDR,
VSA-100,3dfx,Voodoo Scalable,TSMC,2000-10-13,0.014,15,250,112.0,,2.656,166.0,166.0,0.125,0.032,SDR,
VSA-100,3dfx,Voodoo Scalable,TSMC,2000-06-22,0.014,30,250,112.0,,2.656,166.0,166.0,0.125,0.032,SDR,
VSA-100,3dfx,Voodoo Scalable,TSMC,2000-06-22,0.014,30,250,112.0,,2.656,166.0,166.0,0.125,0.032,SDR,
Condor,Matrox,G400,UMC,2000-04-01,0.01,,180,,,2.656,125.0,125.0,,0.032,DDR,
Condor,Matrox,G400,UMC,2000-04-01,0.01,,180,,,2.656,125.0,125.0,,0.032,DDR,
GS-250nm,Sony,,Sony,2000-03-04,0.054,79,250,279.0,,48.0,147.0,147.0,0.1918,0.004,eDRAM,
NV11B,NVIDIA,Celsius,TSMC,2001-02-06,0.02,2,180,64.0,,1.328,125.0,125.0,0.3125,0.016,DDR,
NV11B,NVIDIA,Celsius,TSMC,2001-02-06,0.02,2,180,64.0,,2.656,143.0,143.0,0.3125,0.032,DDR,
Crush11,NVIDIA,Celsius,,2001-06-04,0.02,,180,65.0,,,175.0,175.0,0.3077,,System Shared,
Crush11,NVIDIA,Celsius,,2001-06-04,0.02,,180,65.0,,,175.0,175.0,0.3077,,System Shared,
NV11B,NVIDIA,Celsius,TSMC,2001-03-03,0.02,,180,64.0,,1.328,175.0,175.0,0.3125,0.032,SDR,
NV11B,NVIDIA,Celsius,TSMC,2001-03-03,0.02,,180,64.0,,1.328,175.0,175.0,0.3125,0.032,SDR,
NV11B,NVIDIA,Celsius,TSMC,2001-03-03,0.02,,180,64.0,,1.328,175.0,175.0,0.3125,0.064,SDR,
NV11B,NVIDIA,Celsius,TSMC,2001-03-03,0.02,,180,64.0,,2.656,200.0,200.0,0.3125,0.032,SDR,
NV11B,NVIDIA,Celsius,TSMC,2001-03-03,0.02,,180,64.0,,2.656,200.0,200.0,0.3125,0.032,DDR,
NV15,NVIDIA,Celsius,TSMC,2001-10-01,0.025,,180,88.0,,6.4,250.0,250.0,0.2841,0.064,DDR,
NV20,NVIDIA,Kelvin,TSMC,2001-02-27,0.057,,150,128.0,,7.36,200.0,200.0,0.44530000000000003,0.064,DDR,
NV20,NVIDIA,Kelvin,TSMC,2001-10-01,0.057,,150,128.0,,6.4,175.0,175.0,0.44530000000000003,0.064,DDR,
NV20,NVIDIA,Kelvin,TSMC,2001-10-01,0.057,,150,128.0,,8.0,240.0,240.0,0.44530000000000003,0.064,DDR,
NV20,NVIDIA,Kelvin,TSMC,2001-05-14,0.057,,150,128.0,,3.68,200.0,200.0,0.44530000000000003,0.064,SDR,
NV11B,NVIDIA,Celsius,TSMC,2001-08-14,0.02,,180,64.0,,2.896,143.0,143.0,0.3125,0.032,DDR,
NV15,NVIDIA,Celsius,TSMC,2001-03-22,0.025,,180,88.0,,8.0,200.0,200.0,0.2841,0.064,DDR,
NV2A,NVIDIA,Kelvin,TSMC,2001-11-15,0.057,,150,142.0,,6.4,233.0,233.0,0.4014,0.064,DDR,
Almador,Intel,Generation 1.0,Intel,2001-01-01,,,150,,,,166.0,200.0,,,System Shared,
R200,ATI,Rage 7,TSMC,2001-11-14,0.06,,150,120.0,,8.8,275.0,275.0,0.5,0.128,DDR,
R200,ATI,Rage 7,TSMC,2001-08-30,0.06,,150,120.0,,6.08,230.0,230.0,0.5,0.064,DDR,
GT1000,ATI,IBM,IBM,2001-03-14,,,180,100.0,,9.6,150.0,150.0,,0.128,DDR,
R200,ATI,Rage 7,TSMC,2001-08-14,0.06,,150,120.0,,8.64,250.0,250.0,0.5,0.064,DDR,
R200,ATI,Rage 7,TSMC,2001-08-14,0.06,,150,120.0,,9.28,300.0,300.0,0.5,0.128,DDR,
M7,ATI,Rage 7,TSMC,2001-09-29,0.06,27,150,68.0,,6.4,280.0,280.0,0.8824,0.064,DDR,
M7,ATI,Rage 7,TSMC,2001-12-01,0.06,27,150,68.0,,2.928,230.0,230.0,0.8824,0.032,DDR,
M7,ATI,Rage 7,TSMC,2001-12-01,0.06,27,150,68.0,,2.928,230.0,230.0,0.8824,0.016,DDR,
RV100,ATI,Rage 6,TSMC,2001-02-19,0.03,23,180,80.0,,2.928,183.0,183.0,0.375,0.032,DDR,
RV100,ATI,Rage 6,TSMC,2001-02-19,0.03,23,180,80.0,,2.128,133.0,133.0,0.375,0.032,DDR,
RV200,ATI,Rage 7,TSMC,2001-08-14,0.06,23,150,83.0,,7.36,290.0,290.0,0.7229,0.064,DDR,
RV200,ATI,Rage 7,TSMC,2001-08-14,0.06,23,150,83.0,,5.6,250.0,250.0,0.7229,0.064,DDR,
R200,ATI,Rage 7,TSMC,2001-08-14,0.06,23,150,120.0,,8.8,275.0,275.0,0.5,0.064,DDR,
Rage 6,ATI,Rage 6,TSMC,2001-08-14,0.03,,180,115.0,,5.856,183.0,183.0,0.26089999999999997,0.064,DDR,
Rage 6,ATI,Rage 6,TSMC,2001-08-14,0.03,,180,115.0,,5.312,166.0,166.0,0.26089999999999997,0.064,DDR,
Rage 6,ATI,Rage 6,TSMC,2001-08-14,0.03,,180,115.0,,5.856,183.0,183.0,0.26089999999999997,0.064,DDR,
Rage 6,ATI,Rage 6,TSMC,2001-05-01,0.03,,180,115.0,,4.736,148.0,148.0,0.26089999999999997,0.032,DDR,
Rage 6,ATI,Rage 6,TSMC,2001-02-19,0.03,23,180,115.0,,2.928,183.0,183.0,0.26089999999999997,0.032,DDR,
Rage 6,ATI,Rage 6,TSMC,2001-02-19,0.03,23,180,115.0,,2.928,183.0,183.0,0.26089999999999997,0.032,DDR,
Condor,Matrox,G500,UMC,2001-11-26,0.01,,180,,,2.656,125.0,125.0,,0.032,DDR,
Condor,Matrox,G500,UMC,2001-11-26,0.01,,180,,,2.656,125.0,125.0,,0.032,DDR,
GS-180nm,Sony,,Sony,2001-04-18,0.054,79,180,188.0,,48.0,147.0,147.0,0.2846,0.004,eDRAM,
NV17,NVIDIA,Celsius,TSMC,2002-02-06,0.029,,150,65.0,,3.2,200.0,200.0,0.4462,0.016,DDR,
NV17,NVIDIA,Celsius,TSMC,2002-02-06,0.029,,150,65.0,,3.2,200.0,200.0,0.4462,0.032,DDR,
NV17,NVIDIA,Celsius,TSMC,2002-02-06,0.029,,150,65.0,,7.04,220.0,220.0,0.4462,0.064,DDR,
NV18,NVIDIA,Celsius,TSMC,2002-03-01,0.029,,150,65.0,,6.4,200.0,200.0,0.4462,0.064,DDR,
NV17,NVIDIA,Celsius,TSMC,2002-10-14,0.029,,150,65.0,,8.0,250.0,250.0,0.4462,0.064,DDR,
NV18,NVIDIA,Celsius,TSMC,2002-03-01,0.029,,150,65.0,,8.8,300.0,300.0,0.4462,0.064,DDR,
NV28,NVIDIA,Kelvin,TSMC,2002-11-14,0.063,,150,142.0,,3.2,200.0,200.0,0.4437,0.064,DDR,
Crush17,NVIDIA,Celsius,,2002-10-01,0.029,,150,65.0,,,200.0,200.0,0.4462,,System Shared,
NV17,NVIDIA,Celsius,TSMC,2002-02-06,0.029,,150,65.0,,2.656,250.0,250.0,0.4462,0.064,SDR,
NV17,NVIDIA,Celsius,TSMC,2002-02-06,0.029,,150,65.0,,1.328,250.0,250.0,0.4462,0.064,SDR,
NV17,NVIDIA,Celsius,TSMC,2002-02-06,0.029,,150,65.0,,6.4,275.0,275.0,0.4462,0.064,DDR,
NV17,NVIDIA,Celsius,TSMC,2002-02-06,0.029,,150,65.0,,6.4,275.0,275.0,0.4462,0.064,DDR,
NV18,NVIDIA,Celsius,TSMC,2002-09-25,0.029,,150,65.0,,8.0,275.0,275.0,0.4462,0.064,DDR,
NV17,NVIDIA,Celsius,TSMC,2002-02-06,0.029,,150,65.0,,5.312,250.0,250.0,0.4462,0.064,DDR,
NV17,NVIDIA,Celsius,TSMC,2002-02-06,0.029,,150,65.0,,7.2,300.0,300.0,0.4462,0.064,DDR,
NV25,NVIDIA,Kelvin,TSMC,2002-02-06,0.063,,150,142.0,,4.0,250.0,250.0,0.4437,0.064,DDR,
NV28,NVIDIA,Kelvin,TSMC,2002-02-06,0.063,,150,142.0,,4.0,250.0,250.0,0.4437,0.064,SDR,
NV25,NVIDIA,Kelvin,TSMC,2002-02-06,0.063,,150,142.0,,8.8,275.0,275.0,0.4437,0.128,DDR,
NV25,NVIDIA,Kelvin,TSMC,2002-02-06,0.063,,150,142.0,,10.37,300.0,300.0,0.4437,0.128,DDR,
NV18,NVIDIA,Celsius,TSMC,2002-11-12,0.029,,150,65.0,,8.192,275.0,275.0,0.4462,0.128,DDR,
NV17,NVIDIA,Celsius,TSMC,2002-04-23,0.029,,150,65.0,,3.52,220.0,220.0,0.4462,0.064,SDR,
NV17,NVIDIA,Celsius,TSMC,2002-02-19,0.029,,150,65.0,,2.656,250.0,250.0,0.4462,0.128,SDR,
NV17,NVIDIA,Celsius,TSMC,2002-02-19,0.029,,150,65.0,,6.4,270.0,270.0,0.4462,0.064,DDR,
NV18,NVIDIA,Celsius,TSMC,2002-11-12,0.029,,150,65.0,,6.4,300.0,300.0,0.4462,0.064,DDR,
NV25,NVIDIA,Kelvin,TSMC,2002-02-19,0.063,,150,142.0,,7.2,275.0,275.0,0.4437,0.064,DDR,
NV25,NVIDIA,Kelvin,TSMC,2002-02-19,0.063,,150,142.0,,7.2,275.0,275.0,0.4437,0.128,DDR,
NV25,NVIDIA,Kelvin,TSMC,2002-02-19,0.063,,150,142.0,,10.4,300.0,300.0,0.4437,0.128,DDR,
NV28,NVIDIA,Kelvin,TSMC,2002-11-12,0.063,,150,142.0,,10.4,300.0,300.0,0.4437,0.128,DDR,
Brookdale,Intel,Generation 2.0,Intel,2002-01-01,,,150,,,,200.0,200.0,,,System Shared,
Almador,Intel,Generation 1.0,Intel,2002-01-01,,,150,,,,100.0,166.0,,,System Shared,
R300,ATI,R300,TSMC,2002-07-01,0.11,,150,215.0,,8.64,277.0,277.0,0.5116,0.128,DDR,
RV200,ATI,Rage 7,TSMC,2002-04-16,0.06,,150,83.0,,5.76,260.0,260.0,0.7229,0.064,DDR,
RV200,ATI,Rage 7,TSMC,2002-04-16,0.06,,150,83.0,,8.0,260.0,260.0,0.7229,0.064,DDR,
R300,ATI,R300,TSMC,2002-10-01,0.11,,150,215.0,,19.84,325.0,325.0,0.5116,0.128,DDR,
R300,ATI,R300,TSMC,2002-07-23,0.11,,150,215.0,,19.84,325.0,325.0,0.5116,0.128,DDR,
R300,ATI,R300,TSMC,2002-07-23,0.11,37,150,215.0,,19.84,325.0,325.0,0.5116,0.25,DDR,
R300,ATI,R300,TSMC,2002-07-23,0.11,37,150,215.0,,17.66,324.0,324.0,0.5116,0.25,DDR,
M9,ATI,Rage 7,TSMC,2002-01-01,0.036,,150,81.0,,6.4,250.0,250.0,0.44439999999999996,0.064,DDR,
M9,ATI,Rage 7,TSMC,2002-09-01,0.036,,150,81.0,,3.2,240.0,240.0,0.44439999999999996,0.064,DDR,
M6,ATI,Rage 6,TSMC,2002-01-01,0.03,,180,115.0,,2.656,166.0,166.0,0.26089999999999997,0.032,DDR,
RV200,ATI,Rage 7,TSMC,2002-04-16,0.06,23,150,83.0,,5.76,260.0,260.0,0.7229,0.032,DDR,
